Found solution to sastp50 (time: 248.63, satisfaction: 173.37, stamina: 0, length: 24, runtime: 0.053833, last improvement: 0.034069)
Found solution to sastp50 (time: 246.736, satisfaction: 175.264, stamina: 0, length: 24, runtime: 0.043031, last improvement: 0.026601)
Found solution to sastp50 (time: 246.638, satisfaction: 180.362, stamina: 0, length: 25, runtime: 0.038043, last improvement: 0.020578)
Found solution to sastp50 (time: 245.25, satisfaction: 178.75, stamina: 0, length: 23, runtime: 0.04192, last improvement: 0.026436)
Found solution to sastp50 (time: 243.903, satisfaction: 182.097, stamina: 0, length: 24, runtime: 0.043325, last improvement: 0.026811)
Found solution to sastp50 (time: 243.299, satisfaction: 176.701, stamina: 0, length: 23, runtime: 0.034693, last improvement: 0.019187)
Found solution to sastp50 (time: 249.909, satisfaction: 180.091, stamina: 0, length: 26, runtime: 0.060718, last improvement: 0.043057)
Found solution to sastp50 (time: 248.87, satisfaction: 182.13, stamina: 0, length: 24, runtime: 0.036002, last improvement: 0.020325)
Found solution to sastp50 (time: 248.116, satisfaction: 190.884, stamina: 0, length: 26, runtime: 0.040373, last improvement: 0.023568)
Found solution to sastp50 (time: 248.062, satisfaction: 174.938, stamina: 0, length: 23, runtime: 0.032199, last improvement: 0.017107)
Found solution to sastp50 (time: 249.642, satisfaction: 176.358, stamina: 0, length: 23, runtime: 0.039989, last improvement: 0.024587)
Found solution to sastp50 (time: 248.596, satisfaction: 179.404, stamina: 0, length: 23, runtime: 0.0412, last improvement: 0.025751)
Found solution to sastp50 (time: 249.403, satisfaction: 183.597, stamina: 0, length: 25, runtime: 0.036977, last improvement: 0.020288)
Found solution to sastp50 (time: 247.653, satisfaction: 183.347, stamina: 0, length: 24, runtime: 0.045593, last improvement: 0.029552)
Found solution to sastp50 (time: 249.879, satisfaction: 177.121, stamina: 0, length: 24, runtime: 0.040152, last improvement: 0.024344)
Found solution to sastp50 (time: 246.595, satisfaction: 177.405, stamina: 0, length: 26, runtime: 0.050269, last improvement: 0.03243)
Found solution to sastp50 (time: 244.679, satisfaction: 186.321, stamina: 0, length: 25, runtime: 0.042215, last improvement: 0.025796)
Found solution to sastp50 (time: 249.45, satisfaction: 181.55, stamina: 0, length: 24, runtime: 0.036543, last improvement: 0.020411)
Found solution to sastp50 (time: 249.431, satisfaction: 182.569, stamina: 0, length: 26, runtime: 0.043329, last improvement: 0.026316)
Found solution to sastp50 (time: 247.926, satisfaction: 184.074, stamina: 0, length: 25, runtime: 0.043066, last improvement: 0.02663)
Found solution to sastp50 (time: 248.111, satisfaction: 174.889, stamina: 0, length: 24, runtime: 0.054291, last improvement: 0.037912)
Found solution to sastp50 (time: 245.359, satisfaction: 177.641, stamina: 0, length: 24, runtime: 0.045142, last improvement: 0.029064)
Found solution to sastp50 (time: 249.915, satisfaction: 177.085, stamina: 0, length: 25, runtime: 0.055878, last improvement: 0.039789)
Found solution to sastp50 (time: 249.707, satisfaction: 181.293, stamina: 0, length: 25, runtime: 0.035648, last improvement: 0.019341)
Found solution to sastp50 (time: 246.434, satisfaction: 171.566, stamina: 0, length: 23, runtime: 0.03177, last improvement: 0.016691)
Found solution to sastp50 (time: 249.133, satisfaction: 183.867, stamina: 0, length: 25, runtime: 0.035872, last improvement: 0.019422)
Found solution to sastp50 (time: 247.054, satisfaction: 175.946, stamina: 0, length: 24, runtime: 0.043596, last improvement: 0.028722)
Found solution to sastp500 (time: 2497.73, satisfaction: 2049.27, stamina: 0, length: 245, runtime: 0.619189, last improvement: 0.451667)
Found solution to sastp500 (time: 2496.58, satisfaction: 2124.42, stamina: 0, length: 252, runtime: 1.10434, last improvement: 0.934779)
Found solution to sastp500 (time: 2498.77, satisfaction: 2123.23, stamina: 0, length: 251, runtime: 0.951512, last improvement: 0.78879)
Found solution to sastp500 (time: 2491.79, satisfaction: 2045.21, stamina: 0, length: 250, runtime: 0.574407, last improvement: 0.389319)
Found solution to sastp500 (time: 2492.91, satisfaction: 2066.09, stamina: 0, length: 246, runtime: 0.493326, last improvement: 0.330007)
sastp10,41.8889,0.003784,0.001742
sastp10,41.8889,0.003707,0.001688
sastp10,41.8889,0.00423,0.0022
sastp10,41.8889,0.054413,0.052385
sastp10,41.8889,0.003537,0.001461
sastp10,41.8889,0.012573,0.010498
sastp10,41.8889,0.050162,0.001988
sastp10,41.8889,0.00366,0.00172
sastp10,41.8889,0.008203,0.001231
sastp10,37.1494,0.004776,0.002185
sastp10,41.8889,0.054204,0.052146
sastp10,41.8889,0.003924,0.001862
sastp10,41.8889,0.060359,0.010883
sastp10,37.1494,0.003442,0.001529
sastp10,41.8889,0.008198,0.001497
sastp10,41.8889,0.003478,0.001492
sastp10,41.8889,0.045764,0.000956
sastp10,41.8889,0.003668,0.001714
sastp10,41.8889,0.002977,0.000969
sastp10,35.1004,0.01028,0.008396
sastp10,41.8889,0.064129,0.062122
